"","scientificName","phylumid"
"73","Paralichthys dentatus",1821
"74","Alosa sapidissima",1821
"75","Eubalaena glacialis",1821
"76","Tautogolabrus adspersus",1821
"77","Thunnus obesus",1821
"78","Desmophyllum dianthus",1267
"79","Coryphaena hippurus",1821
"80","Prionace glauca",1821
"81","Enchelyopus cimbrius",1821
"82","Aspidophoroides monopterygius",1821
"83","Melanitta perspicillata",1821
"84","Pandalus borealis",1065
"85","Nezumia bairdii",1821
"86","Centropages hamatus",1065
"87","Dichelopandalus leptocerus",1065
"88","Prionotus carolinus",1821
"89","Crangon septemspinosa",1065
"90","Thunnus alalunga",1821
"91","Melanitta fusca",1821
"92","Sterna hirundo",1821
"93","Tripos fusus",450030
"94","Hyas coarctatus",1065
"95","Lepophidium profundorum",1821
"96","Thalassionema nitzschioides",148898
"97","Asterias rubens",1806
"98","Merluccius albidus",1821
"99","Alosa aestivalis",1821
"100","Echinarachnius parma",1806
"101","Tripos muelleri",450030
"102","Urophycis regia",1821
"103","Fratercula arctica",1821
"104","Phalaropus fulicarius",1821
"105","Stomias boa",1821
"106","Synaphobranchus kaupii",1821
"107","Unciola irrorata",1065
"108","Stenotomus chrysops",1821
"109","Arctozenus risso",1821
"110","Strongylocentrotus droebachiensis",1806
"111","Gavia stellata",1821
"112","Oithona setigera setigera",1065
"113","Calanus hyperboreus",1065
"114","Centroscyllium fabricii",1821
"115","Pandalus montagui",1065
"116","Myxine glutinosa",1821
"117","Ophiura sarsii",1806
"118","Ophiopholis aculeata",1806
"119","Chlidonias niger",1821
"120","Parvicardium pinnulatum",51
"121","Aricidea (Acmira) catherinae",882
"122","Themisto gaudichaudii",1065
"123","Benthosema glaciale",1821
"124","Pomatomus saltatrix",1821
"125","Tripos longipes",450030
"126","Coryphaenoides rupestris",1821
"127","Diastylis quadrispinosa",1065
"128","Paraeuchaeta norvegica",1065
"129","Stercorarius pomarinus",1821
"130","Thunnus thynnus",1821
"131","Reinhardtius hippoglossoides",1821
"132","Parexogone hebes",882
"133","Tharyx acutus",882
"134","Ilyanassa trivittata",51
"135","Hyas araneus",1065
"136","Pagurus acadianus",1065
"137","Globicephala melas",1821
"138","Chaceon quinquedens",1065
"139","Rhizosolenia semispina",148898
"140","Meganyctiphanes norvegica",1065
"141","Ampelisca agassizi",1065
"142","Henricia sanguinolenta",1806
"143","Chlorophthalmus agassizi",1821
"144","Melanitta nigra",1821
"145","Mytilus edulis",51
"146","Kirkegaardia annulosa",882
"147","Arctica islandica",51
"148","Crepidula plana",51
"149","Astarte undata",51
"150","Nucula proxima",51
"151","Myoxocephalus aenaeus",1821
"152","Cancer plebejus",1065
"153","Crepidula fornicata",51
"154","Leptocheirus pinguis",1065
"155","Oithona similis",1065
"156","Notomastus latericeus",882
"157","Spiophanes bombyx",882
"158","Parougia caeca",882
"159","Euspira heros",51
"160","Anomia peruviana",51
"161","Cyclocardia borealis",51
"162","Phascolion (Phascolion) strombus strombus",882
"163","Larus philadelphia",1821
"164","Exogone verugera",882
"165","Nannocalanus minor",1065
"166","Tripos macroceros",450030
"167","Nemichthys scolopaceus",1821
"168","Physeter macrocephalus",1821
"169","Astyris lunata",51
"170","Centropristis striata",1821
"171","Thalassiothrix longissima",148898
"172","Politolana polita",1065
"173","Pleurobrachia pileus",1248
"174","Amphipholis squamata",1806
"175","Scalibregma inflatum",882
"176","Ameritella agilis",51
"177","Tursiops truncatus",1821
"178","Spisula solidissima",51
"179","Aglaophamus circinata",882
"180","Calanus glacialis",1065
"181","Larus atricilla",1821
"182","Microcalanus pusillus",1065
"183","Pagurus longicarpus",1065
"184","Pleuromamma borealis",1065
"185","Clione limacina",51
"186","Mustelus canis",1821
"187","Caretta caretta",1821
"188","Maurolicus muelleri",1821
"189","Ulvaria subbifurcata",1821
"190","Phyllodoce mucosa",882
"191","Candacia armata",1065
"192","Tanaissus lilljeborgi",1065
"193","Phoxocephalus holbolli",1065
"194","Melanostigma atlanticum",1821
"195","Aeginina longicornis",1065
"196","Aglantha digitale",1267
"197","Asterias forbesi",1806
"198","Agriopoma morrhuanum",51
"199","Chauliodus sloani",1821
"200","Grampus griseus",1821
"201","Pasiphaea multidentata",1065
"202","Solenosmilia variabilis",1267
"203","Clausocalanus arcuicornis arcuicornis",1065
"204","Uria lomvia",1821
"205","Atlantopandalus propinqvus",1065
"206","Paracalanus parvus parvus",1065
"207","Diastylis sculpta",1065
"208","Ensis directus",51
"209","Metridia longa",1065
"210","Nephtys incisa",882
"211","Buccinum undatum",51
"212","Ceratoscopelus maderensis",1821
"213","Harpinia propinqva",1065
"214","Ericthonius rubricornis",1065
"215","Ninoe nigripes",882
"216","Crisularia turrita",146142
"217","Euchone incolor",882
"218","Levinsenia gracilis",882
"219","Costoanachis avara",51
"220","Dermochelys coriacea",1821
"221","Alexandrium catenella",450030
"222","Ampharete finmarchica",882
"223","Thysanoessa longicaudata",1065
"224","Astrangia poculata",1267
"225","Alepocephalus agassizii",1821
"226","Puffinus puffinus",1821
"227","Eudorella pusilla",1065
"228","Menidia menidia",1821
"229","Phalacrocorax auritus",1821
"230","Syngnathus fuscus",1821
"231","Anadara transversa",51
"232","Yoldia sapotilla",51
"233","Pandora gouldiana",51
"234","Heteranomia squamula",51
"235","Pholis gunnellus",1821
"236","Phalaropus lobatus",1821
"237","Periploma papyratium",51
"238","Crossaster papposus",1806
"239","Ceratium arcticum",450030
"240","Hippasteria phrygiana",1806
"241","Pseudocalanus minutus",1065
"242","Unciola inermis",1065
"243","Littorina littorea",51
"244","Oithona atlantica",1065
"245","Pagurus pubescens",1065
"246","Hydroides dianthus",882
"247","Stenopleustes inermis",1065
"248","Byblis serrata",1065
"249","Drilonereis longa",882
"250","Pholoe minuta",882
"251","Leptoclinus maculatus",1821
"252","Parapionosyllis longicirrata",882
"253","Solamen glandula",51
"254","Hippomedon serratus",1065
"255","Cyclopterus lumpus",1821
"256","Crisia eburnea",146142
"257","Harmothoe imbricata",882
"258","Schizoporella errata",146142
"259","Ennucula delphinodonta",51
"260","Neomysis americana",1065
"261","Nereis pelagica",882
"262","Clymenella torquata",882
"263","Larus delawarensis",1821
"264","Lumpenus lampretaeformis",1821
"265","Ovalipes ocellatus",1065
"266","Maurolicus weitzmani",1821
"267","Ophelina acuminata",882
"268","Libinia emarginata",1065
"269","Marycarmenia gaspeensis",882
"270","Prionospio steenstrupi",882
"271","Uria aalge",1821
"272","Euchirella rostrata",1065
"273","Lithodes maja",1065
"274","Chone infundibuliformis",882
"275","Modiolus modiolus",51
"276","Tripos furca",450030
"277","Chone duneri",882
"278","Conger oceanicus",1821
"279","Anobothrus gracilis",882
"280","Dipolydora socialis",882
"281","Astarte castanea",51
"282","Goniadella gracilis",882
"283","Zenopsis conchifer",1821
"284","Scolecithricella minor minor",1065
"285","Petromyzon marinus",1821
"286","Pagurus annulipes",1065
"287","Parasmittina nitida",146142
"288","Antimora rostrata",1821
"289","Primnoa resedaeformis",1267
"290","Scomberesox saurus",1821
"291","Galathowenia oculata",882
"292","Euchone hancocki",882
"293","Ameroculodes edwardsi",1065
"294","Diopatra cuprea",882
"295","Anguilla rostrata",1821
"296","Euspira triseriata",51
"297","Erythrops erythrophthalmus",1065
"298","Hansarsia megalops",1065
"299","Prionospio cirrifera",882
"300","Peristedion miniatum",1821
"301","Serrivomer beanii",1821
"302","Streptosyllis arenae",882
"303","Cryptacanthodes maculatus",1821
"304","Lamna nasus",1821
"305","Cliona celata",558
"306","Aricidea (Acmira) cerrutii",882
"307","Artediellus atlanticus",1821
"308","Lepidonotus squamatus",882
"309","Antalis entalis",51
"310","Glycera capitata",882
"311","Spiophanes wigleyi",882
"312","Crassinella lunulata",51
"313","Pseudo-nitzschia seriata",148898
"314","Lumbrineris latreilli",882
"315","Botrylloides violaceus",1821
"316","Euphausia krohnii",1065
"317","Bathypolypus arcticus",51
"318","Scoletoma fragilis",882
"319","Urosalpinx cinerea",51
"320","Lyonsia hyalina",51
"321","Harmothoe extenuata",882
"322","Lumbrinerides acuta",882
"323","Mecynocera clausi",1065
"324","Arbacia punctulata",1806
"325","Pagurus arcuatus",1065
"326","Eukrohnia hamata",2081
"327","Cossura longocirrata",882
"328","Cucumaria frondosa",1806
"329","Lebbeus polaris",1065
"330","Saccharina latissima",345465
"331","Etrumeus sadina",1821
"332","Pontogeneia inermis",1065
"333","Stercorarius skua",1821
"334","Rhepoxynius hudsoni",1065
"335","Dyspanopeus sayi",1065
"336","Hyperia galba",1065
"337","Lucinoma filosa",51
"338","Cochlodesma leanum",51
"339","Sterna dougallii",1821
"340","Havelockia scabra",1806
"341","Dyopedos monacanthus",1065
"342","Terebellides stroemii",882
"343","Eusergestes arcticus",1065
"344","Thysanoessa inermis",1065
"345","Chondrus crispus",852
"346","Rhepoxynius epistomus",1065
"347","Tripos lineatus",450030
"348","Aetideus armatus",1065
"349","Ophiura robusta",1806
"350","Ceriantheopsis americana",1267
"351","Protohaustorius wigleyi",1065
"352","Argopecten gibbus",51
"353","Sigmops elongatus",1821
"354","Champia parvula",852
"355","Protodorvillea kefersteini",882
"356","Chiridotea tuftsii",1065
"357","Botryllus schlosseri",1821
"358","Aphelochaeta marioni",882
"359","Stercorarius maccormicki",1821
"360","Cyanea capillata",1267
"361","Carcinus maenas",1065
"362","Grinnellia americana",852
"363","Nereis grayi",882
"364","Cirrophorus furcatus",882
"365","Myctophum punctatum",1821
"366","Caryocorbula contracta",51
"367","Yoldia limatula",51
"368","Photis dentata",1065
"369","Ennucula tenuis",51
"370","Laonice cirrata",882
"371","Kirkegaardia dorsobranchialis",882
"372","Pontophilus norvegicus",1065
"373","Lampanyctus macdonaldi",1821
"374","Spirontocaris liljeborgii",1065
"375","Electra pilosa",146142
"376","Clymenella zonalis",882
"377","Hydractinia echinata",1267
"378","Amphioplus (Amphioplus) macilentus",1806
"379","Proboscia alata",148898
"380","Paralia sulcata",148898
"381","Asconema foliatum",558
"382","Desmophyllum pertusum",1267
"383","Rhizosolenia styliformis",148898
"384","Astarte subaequilatera",51
"385","Styela clava",1821
"386","Colus pygmaeus",51
"387","Petalosarsia declivis",1065
"388","Tripos horridus",450030
"389","Argyropelecus aculeatus",1821
"390","Edotia triloba",1065
"391","Ctenodiscus crispatus",1806
"392","Leptostylis longimana",1065
"393","Lobatula lobatula",1410
"394","Sthenelais limicola",882
"395","Hygophum hygomii",1821
"396","Pherusa affinis",882
"397","Leptasterias tenera",1806
"398","Exogone naidina",882
"399","Thyasira flexuosa",51
"400","Astarte crenata",51
"401","Scoloplos armiger",882
"402","Thyasira trisinuata",51
"403","Solariella obscura",51
"404","Mergus serrator",1821
"405","Liparis atlanticus",1821
"406","Parasudis truculenta",1821
"407","Stercorarius parasiticus",1821
"408","Hiatella arctica",51
"409","Anthothela grandiflora",1267
"410","Nereis zonata",882
"411","Themisto compressa",1065
"412","Pagurus pollicaris",1065
"413","Scoletoma hebes",882
"414","Pleuromamma abdominalis abdominalis",1065
"415","Phyllophora pseudoceranoïdes",852
"416","Mercenaria mercenaria",51
"417","Laevicardium mortoni",51
"418","Phoca vitulina",1821
"419","Aricidea neosuecica",882
"420","Mulinia lateralis",51
"421","Stephanolepis hispida",1821
"422","Aetea anguina",146142
"423","Skeletonema costatum",148898
"424","Prionotus evolans",1821
"425","Mediomastus ambiseta",882
"426","Diaphus dumerilii",1821
"427","Ampelisca spinipes",1065
"428","Aricidea (Strelzovia) suecica",882
"429","Coccotylus brodiei",852
"430","Syllides benedicti",882
"431","Bathylagus euryops",1821
"432","Scopelogadus beanii",1821
"433","Simenchelys parasitica",1821
"434","Agardhiella subulata",852
"435","Pennatula aculeata",1267
"436","Nephtys bucera",882
"437","Eudorella truncatula",1065
"438","Gasterosteus aculeatus",1821
"439","Bathyarca pectunculoides",51
"440","Artediellus uncinatus",1821
"441","Nephasoma (Nephasoma) minutum",882
"442","Ampelisca vadorum",1065
"443","Cumingia sinuosa",51
"444","Questa trifurcata",882
"445","Sertularia argentea",1267
"446","Vertebrata fucoides",852
"447","Chionoecetes opilio",1065
"448","Pseudoleptocuma minus",1065
"449","Byblis minuticornis",1065
"450","Centroscymnus coelolepis",1821
"451","Halichoerus grypus",1821
"452","Hemigrapsus sanguineus",1065
"453","Pleuromamma robusta robusta",1065
"454","Ectopleura crocea",1267
"455","Rhodine gracilior",882
"456","Apeltes quadracus",1821
"457","Scoloplos acmeceps",882
"458","Nothria conchylega",882
"459","Ptilella grandis",1267
"460","Centropages bradyi",1065
"461","Tanaissus psammophilus",1065
"462","Casco bigelowi",1065
"463","Gracilipleustes gracilis",1065
"464","Lobianchia dofleini",1821
"465","Colus stimpsoni",51
"466","Ceramaster granularis",1806
"467","Harriotta raleighana",1821
"468","Aphrodita hastata",882
"469","Idotea phosphorea",1065
"470","Pagophilus groenlandicus",1821
"471","Sphoeroides maculatus",1821
"472","Eudendrium ramosum",1267
"473","Megamoera dentata",1065
"474","Argissa hamatipes",1065
"475","Brisaster fragilis",1806
"476","Acanella arbuscula",1267
"477","Liparis inquilinus",1821
"478","Chlamys islandica",51
"479","Parasagitta elegans",2081
"480","Musculus niger",51
"481","Molgula manhattensis",1821
"482","Pseudopotamilla reniformis",882
"483","Ascidiella aspersa",1821
"484","Neverita duplicata",51
"485","Limacina helicina",51
"486","Ptilanthura tenuis",1065
"487","Busycotypus canaliculatus",51
"488","Fundulus heteroclitus",1821
"489","Goniada maculata",882
"490","Eupleura caudata",51
"491","Photis reinhardi",1065
"492","Isurus oxyrinchus",1821
"493","Aricidea (Aricidea) wassi",882
"494","Spiophanes kroyeri",882
"495","Ascophyllum nodosum",345465
"496","Staurodiscus kellneri",1267
"497","Neptunea decemcostata",51
"498","Chaetopleura apiculata",51
"499","Etmopterus princeps",1821
"500","Ditylum brightwellii",148898
"501","Rhizosolenia imbricata",148898
"502","Drilonereis magna",882
"503","Acartia (Acartiura) longiremis",1065
"504","Jasmineira filiformis",882
"505","Rhincalanus nasutus",1065
"506","Limacina retroversa",51
"507","Ophelina cylindricaudata",882
"508","Melanolagus bericoides",1821
"509","Heterorhabdus norvegicus",1065
"510","Sabinea sarsii",1065
"511","Paramphinome jeffreysii",882
"512","Sargassum filipendula",345465
"513","Amphissa acutecostata",51
"514","Spio armata",882
"515","Aplidium pellucidum",1821
"516","Metopella angusta",1065
"517","Cylichna alba",51
"518","Porania (Porania) pulvillus",1806
"519","Ericthonius fasciatus",1065
"520","Crenella decussata",51
"521","Turbonilla interrupta",51
"522","Turbicellepora avicularis",146142
"523","Puffinus lherminieri",1821
"524","Aberranta enigmatica",882
"525","Antalis occidentalis",51
"526","Eriopisa elongata",1065
"527","Pseudunciola obliquua",1065
"528","Vazella pourtalesii",558
"529","Porania (Porania) pulvillus insignis",1806
"530","Biflustra tenuis",146142
"531","Ceramium virgatum",852
"532","Paragorgia arborea",1267
"533","Crassicorophium crassicorne",1065
"534","Clathria (Clathria) prolifera",558
"535","Coscinodiscus concinnus",148898
"536","Lepidocybium flavobrunneum",1821
"537","Solaster endeca",1806
"538","Sabellaria vulgaris",882
"539","Semibalanus balanoides",1065
"540","Osmerus mordax",1821
"541","Nuculana pernula",51
"542","Terebellides atlantis",882
"543","Crucibulum striatum",51
"544","Pseudosagitta maxima",2081
"545","Crassostrea virginica",51
"546","Acanthocybium solandri",1821
"547","Anonyx lilljeborgi",1065
"548","Notoscopelus resplendens",1821
"549","Didemnum vexillum",1821
"550","Calycopsis typa",1267
"551","Antithamnion cruciatum",852
"552","Pectinaria gouldii",882
"553","Lacuna parva",51
"554","Psilaster andromeda",1806
"555","Ampelisca macrocephala",1065
"556","Rostroraja eglanteria",1821
"557","Mitrocomella polydiademata",1267
"558","Dacrydium vitreum",51
"559","Metridium senile",1267
"560","Mya arenaria",51
"561","Tautoga onitis",1821
"562","Sthenelais boa",882
"563","Polydora cornuta",882
"564","Stenella coeruleoalba",1821
"565","Sabaco elongatus",882
"566","Coscinodiscus wailesii",148898
"567","Idotea balthica",1065
"568","Cynoscion regalis",1821
"569","Tetronarce nobiliana",1821
"570","Acanthephyra pelagica",1065
"571","Scolelepis (Scolelepis) squamata",882
"572","Sphaerosyllis brevifrons",882
"573","Spio filicornis",882
"574","Decapterus punctatus",1821
"575","Paramuricea placomus",1267
"576","Aricidea (Strelzovia) quadrilobata",882
"577","Campylaspis affinis",1065
"578","Streptosyllis varians",882
"579","Microphthalmus listensis",882
"580","Scolecithrix danae",1065
"581","Calliopius laeviusculus",1065
"582","Kajikia albida",1821
"583","Crepidula convexa",51
"584","Zostera subg. Zostera marina",596326
"585","Triconia conifera",1065
"586","Celleporella hyalina",146142
"587","Obelia geniculata",1267
"588","Brevoortia tyrannus",1821
"589","Ophiocten sericeum",1806
"590","Trachurus lathami",1821
"591","Myoxocephalus scorpius",1821
"592","Littorina obtusata",51
"593","Nuculana tenuisulcata",51
"594","Glycera americana",882
"595","Sterna paradisaea",1821
"596","Cryptonatica affinis",51
"597","Politolana concharum",1065
"598","Ammodytes americanus",1821
"599","Erinaceusyllis erinaceus",882
"600","Cirrophorus branchiatus",882
"601","Corallina officinalis",852
"602","Acteocina canaliculata",51
"603","Halecium halecinum",1267
"604","Bittiolum alternatum",51
"605","Nucella lapillus",51
"606","Orchomenella minuta",1065
"607","Oncaea venusta",1065
"608","Clymenura polaris",882
"609","Alamprops quadriplicatus",1065
"610","Ulva lactuca",801
"611","Mooreonuphis pallidula",882
"612","Melinna cristata",882
"613","Eunice pennata",882
"614","Solemya velum",51
"615","Erichsonella filiformis",1065
"616","Americamysis bigelowi",1065
"617","Euchaeta marina",1065
"618","Sebastes norvegicus",1821
"619","Eudorella emarginata",1065
"620","Tubularia couthouyi",1267
"621","Macoploma tenta",51
"622","Psammodrilus balanoglossoides",882
"623","Hildenbrandia rubra",852
"624","Petricolaria pholadiformis",51
"625","Stereoderma unisemita",1806
"626","Amphibalanus eburneus",1065
"627","Glycera dibranchiata",882
"628","Aplidium stellatum",1821
"629","Etropus microstomus",1821
"630","Epizoanthus papillosus",1267
"631","Diadumene lineata",1267
"632","Styela canopus",1821
"633","Halosauropsis macrochir",1821
"634","Symbolophorus veranyi",1821
"635","Boltenia ovifera",1821
"636","Yoldiella lucida",51
"637","Eualus pusiolus",1065
"638","Monocorophium cylindricum",1065
"639","Lopholatilus chamaeleonticeps",1821
"640","Laminaria digitata",345465
"641","Proboloides holmesi",1065
"642","Lycenchelys verrillii",1821
"643","Clausocalanus furcatus",1065
"644","Pleuromamma gracilis gracilis",1065
"645","Vermicularia spirata",51
"646","Quinqueloculina seminulum",1410
"647","Bradabyssa villosa",882
"648","Codium fragile subsp. fragile",801
"649","Nereimyra punctata",882
"650","Labidocera aestiva",1065
"651","Themisto abyssorum",1065
"652","Mesocalanus tenuicornis",1065
"653","Vinciguerria nimbaria",1821
"654","Tripos bucephalus",450030
"655","Polyides rotunda",852
"656","Glycera robusta",882
"657","Carradoriella elongata",852
"658","Edotia acuta",1065
"659","Janira alta",1065
"660","Lampanyctus pusillus",1821
"661","Arrhoges occidentalis",51
"662","Undinula vulgaris",1065
"663","Amphilimna olivacea",1806
"664","Nuculana acuta",51
"665","Ammonia beccarii",1410
"666","Diastylis polita",1065
"667","Ilyanassa obsoleta",51
"668","Hippomedon propinqvus",1065
"669","Retusa obtusa",51
"670","Lepidophanes guentheri",1821
"671","Amphicteis gunneri",882
"672","Gonichthys cocco",1821
"673","Notoscopelus kroyeri",1821
"674","Serratosagitta serratodentata",2081
"675","Eudorellopsis deformis",1065
"676","Ericthonius brasiliensis",1065
"677","Gammaropsis nitida",1065
"678","Polycirrus eximius",882
"679","Lebbeus groenlandicus",1065
"680","Heteromastus filiformis",882
"681","Euclymene collaris",882
"682","Polymixia lowei",1821
"683","Morone saxatilis",1821
"684","Photis pollex",1065
"685","Littorina saxatilis",51
"686","Ophichthus cruentifer",1821
"687","Leitoscoloplos robustus",882
"688","Anonyx sarsi",1065
"689","Campylaspis rubicunda",1065
"690","Polyipnus clarus",1821
"691","Alvania carinata",51
"692","Arvella pectinula",51
"693","Myctophum affine",1821
"694","Lampanyctus crocodilus",1821
"695","Acanthogorgia armata",1267
"696","Lampadena speculigera",1821
"697","Astropecten americanus",1806
"698","Euchone elegans",882
"699","Rhinochimaera atlantica",1821
"700","Spyridia filamentosa",852
"701","Musculus discors",51
"702","Fundulus majalis",1821
"703","Eucratea loricata",146142
"704","Palmaria palmata",852
"705","Chaetozone setosa",882
"706","Cylindrotheca closterium",148898
"707","Elasmopus levis",1065
"708","Paranaitis speciosa",882
"709","Chiridotea coeca",1065
"710","Engraulis eurystole",1821
"711","Pennaria disticha",1267
"712","Sycon ciliatum",558
"713","Nymphon grossipes",1065
"714","Scaphander punctostriatus",51
"715","Parvocalanus crassirostris",1065
"716","Owenia fusiformis",882
"717","Menidia beryllina",1821
"718","Cylichnella oryza",51
"719","Stomias ferox",1821
"720","Cottunculus thomsonii",1821
"721","Phoronis psammophila",1789
"722","Cyclopecten hoskynsi",51
"723","Amathia gracilis",146142
"724","Spiochaetopterus oculatus",882
"725","Temora stylifera",1065
"726","Hygophum benoiti",1821
"727","Siliqua costata",51
"728","Eudorella hispida",1065
"729","Nessorhamphus ingolfianus",1821
"730","Aphelochaeta monilaris",882
"731","Aldrovandia affinis",1821
"732","Craniella cranium",558
"733","Testudinalia testudinalis",51
"734","Ceratoscopelus warmingii",1821
"735","Eusyllis lamelligera",882
"736","Scyliorhinus retifer",1821
"737","Diplosoma listerianum",1821
"738","Lomentaria uncinata",852
"739","Cerebratulus lacteus",152391
"740","Diastylis cornuifer",1065
"741","Onuphis opalina",882
"742","Orchomenella pinguis",1065
"743","Desmarestia viridis",345465
"744","Anchoa mitchilli",1821
"745","Gaetanus tenuispinus",1065
"746","Gemma gemma",51
"747","Pasiphaea tarda",1065
"748","Phyllodoce arenae",882
"749","Desmarestia aculeata",345465
"750","Nephtys picta",882
"751","Mediomastus fragilis",882
"752","Pelia mutica",1065
"753","Catapagurus sharreri",1065
"754","Amphiura otteri",1806
"755","Limacina trochiformis",51
"756","Ampithoe rubricata",1065
"757","Histioteuthis reversa",51
"758","Magnisudis atlantica",1821
"759","Arabella iricolor",882
"760","Dipolydora caulleryi",882
"761","Dibranchus atlanticus",1821
"762","Obtusoecia obtusata",1065
"763","Ophiomusa lymani",1806
"764","Foetorepus agassizii",1821
"765","Tectonatica pusilla",51
"766","Balaenoptera musculus",1821
"767","Glyphocrangon longirostris",1065
"768","Sertularia cupressina",1267
"769","Poraniomorpha (Poraniomorpha) hispida",1806
"770","Phymatolithon calcareum",852
"771","Pseudo-nitzschia delicatissima",148898
"772","Ophichthus gomesii",1821
"773","Bostrichobranchus pilularis",1821
"774","Trachythela rudis",1267
"775","Streblospio benedicti",882
"776","Pseudohaustorius caroliniensis",1065
"777","Skaptopus brychius",1065
"778","Polinices immaculatus",51
"779","Jassa marmorata",1065
"780","Sternoptyx diaphana",1821
"781","Iridonida iris",1065
"782","Lampanyctus alatus",1821
"783","Polycirrus medusa",882
"784","Ciona intestinalis",1821
"785","Ophiacantha bidentata",1806
"786","Leucoraja garmani",1821
"787","Edwardsia elegans",1267
"788","Decapterus macarellus",1821
"789","Pycnogonum litorale",1065
"790","Pteraster militaris",1806
"791","Paraonis fulgens",882
"792","Lampanyctus ater",1821
"793","Hartmania moorei",882
"794","Filograna implexa",882
"795","Phalacrocorax carbo",1821
"796","Paradoneis lyra",882
"797","Larus fuscus",1821
"798","Scoletoma tenuis",882
"799","Howella sherborni",1821
"800","Oxyurostylis smithi",1065
"801","Leptosynapta tenuis",1806
"802","Calliostoma occidentale",51
"803","Teuthowenia megalops",51
"804","Vinciguerria attenuata",1821
"805","Lacuna vincta",51
"806","Eumida sanguinea",882
"807","Batea catharinensis",1065
"808","Caprella penantis",1065
"809","Paramphilochoides odontonyx",1065
"810","Frigidoalvania carinata",51
"811","Larus glaucoides",1821
"812","Acanthephyra purpurea",1065
"813","Chaetopterus variopedatus",882
"814","Stylatula elegans",1267
"815","Bathyporeia quoddyensis",1065
"816","Spinocalanus abyssalis",1065
"817","Elphidium striatopunctatum",1410
"818","Haustorius arenarius",1065
"819","Selene setapinnis",1821
"820","Orbinia swani",882
"821","Retilaskeya emersonii",51
"822","Tripos massiliensis",450030
"823","Lucicutia flavicornis",1065
"824","Pleurogonium inerme",1065
"825","Scytosiphon lomentaria",345465
"826","Sternula antillarum",1821
"827","Prorocentrum micans",450030
"828","Obelia longissima",1267
"829","Periploma fragile",51
"830","Mikroconchoecia curta",1065
"831","Paramuricea grandis",1267
"832","Perophora viridis",1821
"833","Orthoconchoecia haddoni",1065
"834","Eurypharynx pelecanoides",1821
"835","Alitta succinea",882
"836","Tomopteris (Johnstonella) helgolandica",882
"837","Hutchinsoniella macracantha",1065
"838","Aurospio dibranchiata",882
"839","Grateloupia turuturu",852
"840","Boreoscala greenlandica",51
"841","Thracia septentrionalis",51
"842","Acanthohaustorius millsi",1065
"843","Modiolus squamosus",51
"844","Melphidippa borealis",1065
"845","Sternaspis fossor",882
"846","Paraninoe brevipes",882
"847","Aglaothamnion tenuissimum",852
"848","Sternaspis scutata",882
"849","Dasya baillouviana",852
"850","Bucephala albeola",1821
"851","Amphioplus (Amphioplus) abditus",1806
"852","Paraeuchaeta tonsa",1065
"853","Gasterosteus wheatlandi",1821
"854","Lumbrineris magalhaensis",882
"855","Odontella aurita",148898
"856","Acartia (Acartia) danae",1065
"857","Dendrobeania murrayana",146142
