,SpeciesLong,SpeciesShort,Habitat,Taxon,Abundance,Assimilation_eff,LF_dist,LF_dist1,LF_dist2,LWR_a,LWR_b,VBG_K,VBG_LOO,VBG_t0,Mat_age,Tmax,M_type,M_const,Sex_rat,Swim_velo
38,Lumbrineris_bidens,sp38,"Marine, Benthic, SoftBottom",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
39,Lumbrineris_latreilli,sp39,"Marine, Neritic, LittoralZone, Intertidal, SubLittoral, Benthic, Mobile, SoftBottom, Sand, Coarse, Fine, Mud, HardBottom, Rubble, SeaGrassBeds",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
40,Lysidice_hebes,sp40,NA,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
41,Mediomastus_ambiseta,sp41,"Marine, Neritic, SubLittoral, Oceanic, Benthic, SoftBottom, Sand, Silt, Vents, Verterbrates",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
42,Mooreonuphis_pallidula,sp42,"Marine, Benthic, SoftBottom, CoralReefs",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
43,Nephtys_incisa,sp43,"Marine, Neritic, SubLittoral, Benthic, Macrobenthos, Pelagic, SoftBottom, Sand, Mud, Burrows",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
44,Nereis_grayi,sp44,NA,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
45,Nereis_pelagica,sp45,"Marine, Neritic, LittoralZone, Intertidal, SubLittoral, Benthic, SoftBottom, HardBottom, Rocky, Macrophyte, BedsRock, CoralReefs, Burrows",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
46,Ninoe_nigripes,sp46,"Marine, Benthic, SoftBottom",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
47,Notocirrus_spiniferus,sp47,NA,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
48,Notomastus_latericeus,sp48,"Marine, Neritic, LittoralZone, Intertidal, SubLittoral, Epipelagic, mesopelagic, bathypelagic, abyssopelagic, hadopelagic, BrackishWater, Estuaries, Benthic, Mobile, Macrobenthos, SoftBottom, Sand, Fine, Silt, Mud, SeaGrassBeds, CoralReefs, Burrows, Seamounts",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
49,Ophelina_acuminata,sp49,"Marine, Neritic, SubLittoral, Benthic, Mobile, SoftBottom, Sand, Coarse, Fine, Mud, Burrows",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
50,Ophelina_cylindricaudata,sp50,"Marine, Benthic, Endofauna, SoftBottom",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
51,Owenia_fusiformis,sp51,"Marine, Neritic, SubLittoral, BrackishWater, Estuaries, Benthic, Endofauna, Macrobenthos, SoftBottom, Sand, Coarse, Fine, Mud, Burrows",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
52,Paraonis_fulgens,sp52,"Marine, Benthic, SoftBottom, Sand, Burrows",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
53,Paraonis_pygoenigmatica,sp53,"Marine, Benthic, SoftBottom, Burrows",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
54,Parapionosyllis_longicirrata,sp54,"Marine, Benthic, Mobile, SoftBottom, Sand, HardBottom",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
55,Parasabella_microphthalma,sp55,NA,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
56,Parexogone_hebes,sp56,NA,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
57,Parougia_caeca,sp57,Marine,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
58,Paucibranchia_bellii,sp58,NA,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
59,Pholoe_minuta,sp59,"Marine, Neritic, SupraLittoralZone, LittoralZone, Intertidal, SubLittoral, Oceanic, BrackishWater, Estuaries, Benthic, Mobile, Macrobenthos, SoftBottom, Sand, Fine, Mud, BedsRock, OInverterbrates",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
60,Polycirrus_eximius,sp60,"Marine, Benthic",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
61,Potamilla_neglecta,sp61,"Marine, Neritic, LittoralZone",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
62,Saphobranchia_octobranchus,sp62,NA,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
63,Scalibregma_inflatum,sp63,"Marine, Neritic, SubLittoral, Oceanic, Epipelagic, mesopelagic, bathypelagic, Benthic, Mobile, Macrobenthos, SoftBottom, Sand, Mud, Burrows",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
64,Scoletoma_acicularum,sp64,NA,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
65,Scoletoma_fragilis,sp65,"Marine, Neritic, SubLittoral, Epipelagic, mesopelagic, Benthic, Demersal, SoftBottom",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
66,Scoletoma_tenuis,sp66,NA,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
67,Scoletoma_verrilli,sp67,NA,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
68,Scoloplos_armiger,sp68,"Marine, Neritic, LittoralZone, SubLittoral, BrackishWater, Estuaries, Benthic, Mobile, Macrobenthos, SoftBottom, Sand, Fine, Mud, SeaGrassBeds",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
69,Sigambra_tentaculata,sp69,"Marine, Neritic, LittoralZone, Intertidal, SubLittoral, abyssopelagic, Benthic, Mobile, SoftBottom, Sand, Coarse, Fine, Mud, Ooze, Detritus, CoralReefs, Burrows",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
70,Spiochaetopterus_oculatus,sp70,Marine,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
71,Spiophanes_bombyx,sp71,"Marine, Neritic, SubLittoral, BrackishWater, Estuaries, Benthic, Endofauna, Macrobenthos, Pelagic, SoftBottom, Sand, Coarse, Fine, Mud",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
72,Sthenelais_boa,sp72,"Marine, Neritic, SubLittoral, BrackishWater, Estuaries, Benthic, Mobile, Macrobenthos, SoftBottom, Sand, Coarse, Fine, Mud",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
73,Streptosyllis_arenae,sp73,"Marine, Benthic",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
74,Syllides_longocirratus,sp74,"Marine, Benthic",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
75,Syllis_beneliahuae,sp75,"Marine, Benthic",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
76,Terebellides_parvus,sp76,"Marine, Benthic, Endofauna, SoftBottom, Mud",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
77,Terebellides_stroemii,sp77,"Marine, Neritic, LittoralZone, Intertidal, SubLittoral, BrackishWater, Benthic, Sessile, Macrobenthos, SoftBottom, Sand, Coarse, Fine, Mud",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
78,Tharyx_acutus,sp78,"Marine, Benthic",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
79,Tharyx_killariensis,sp79,NA,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
80,Therochaeta_collarifera,sp80,NA,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
81,Tomopteris_helgolandica,sp81,Marine,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
82,Tomopteris_septentrionalis,sp82,Marine,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
83,Travisia_carnea,sp83,NA,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
84,Acanthephyra_pelagica,sp84,"Marine, Oceanic, Epipelagic, mesopelagic, bathypelagic, Pelagic, Seamounts",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
85,Acanthephyra_purpurea,sp85,"Marine, Oceanic, mesopelagic, bathypelagic, Pelagic",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
86,Acanthocarpus_alexandri,sp86,"Marine, Benthic, Mobile, SoftBottom, HardBottom, Rubble",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
87,Acartia_danae,sp87,"Marine, Neritic, LittoralZone, Oceanic, Epipelagic, mesopelagic, Pelagic, Seamounts",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
88,Acartia_hudsonica,sp88,Marine,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
89,Acartia_longiremis,sp89,"Marine, Neritic",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
90,Aega_psora,sp90,"Marine, BrackishWater, Estuaries, Parasitism, InsideHost, Pelagic, Verterbrates",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
91,Aeginina_longicornis,sp91,"Marine, Neritic, LittoralZone, Intertidal, Benthic, SoftBottom, Silt, HardBottom, Rocky, Macrophyte",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
92,Aegisthus_mucronatus,sp92,"Marine, Oceanic, Epipelagic, mesopelagic, bathypelagic, Benthic, Mobile, Pelagic",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
93,Aetideopsis_armata,sp93,"Marine, Oceanic, Epipelagic, mesopelagic, bathypelagic, Pelagic",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
94,Aetideus_armatus,sp94,"Marine, Oceanic, Epipelagic, mesopelagic, bathypelagic, BrackishWater, Estuaries, Pelagic",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
95,Amalopenaeus_elegans,sp95,NA,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
96,Ampelisca_abdita,sp96,"Marine, Neritic, LittoralZone, Intertidal, Benthic, Mobile, Endofauna, SoftBottom, Sand, Mud, CoralReefs",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
97,Ampelisca_agassizi,sp97,"Marine, Benthic, Endofauna, SoftBottom, Sand, CoralReefs",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
98,Ampelisca_verrilli,sp98,"Marine, Benthic, Mobile",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
99,Atlantopandalus_propinqvus,sp99,NA,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
100,Bathynectes_longispina,sp100,"Marine, Benthic, Mobile, Pelagic, SoftBottom, HardBottom, Rubble",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
101,Belzebub_faxoni,sp101,NA,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
102,Byblis_serrata,sp102,"Marine, Benthic, Mobile, SoftBottom",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
103,Calanus_finmarchicus,sp103,"Marine, Neritic, Oceanic, Epipelagic, mesopelagic, bathypelagic, BrackishWater, Estuaries, Pelagic",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
104,Calanus_glacialis,sp104,Marine,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
105,Calanus_hyperboreus,sp105,Marine,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
106,Callinectes_sapidus,sp106,"Marine, Neritic, BrackishWater, Estuaries, FreshWater, Symbiosis, Benthic, Mobile, Pelagic, SoftBottom, Sand, Mud, Burrows",,10,0.8,constant,0,10,NA,NA,0.875263158,19.48578947,-0.065,NA,NA,constant,0,0.5,NA
107,Calocalanus_pavo,sp107,"Marine, Oceanic, Epipelagic, Pelagic",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
108,Calocalanus_tenuis,sp108,NA,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
109,Campylaspis_affinis,sp109,"Marine, Benthic, Demersal",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
110,Campylaspis_rubicunda,sp110,"Marine, Benthic, SoftBottom",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
111,Cancer_borealis,sp111,"Marine, Neritic, LittoralZone, Intertidal, SubLittoral, Benthic, Mobile, SoftBottom, HardBottom, Rocky, Rubble",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
112,Cancer_irroratus,sp112,"Marine, Neritic, LittoralZone, Intertidal, SubLittoral, Benthic, Mobile, SoftBottom, HardBottom, Rubble",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
113,Candacia_armata,sp113,Marine,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
114,Casco_bigelowi,sp114,NA,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
115,Centropages_bradyi,sp115,"Marine, Oceanic, Epipelagic, Pelagic",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
116,Centropages_hamatus,sp116,"Marine, Oceanic, Epipelagic, Pelagic",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
117,Centropages_typicus,sp117,"Marine, Oceanic, Epipelagic, Pelagic",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
118,Chaceon_quinquedens,sp118,"Marine, Benthic, Mobile, SoftBottom, Silt",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
119,Chionoecetes_opilio,sp119,"Marine, Neritic, Oceanic, Parasitism, InsideHost, Benthic, Mobile, SoftBottom, Sand, Mud, HardBottom, Gravel",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
120,Clausocalanus_furcatus,sp120,"Marine, Oceanic, Epipelagic, Pelagic",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
121,Clausocalanus_pergens,sp121,"Marine, Oceanic, mesopelagic, bathypelagic, Pelagic",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
122,Clytemnestra_scutellata,sp122,"Marine, Oceanic, Epipelagic, Pelagic",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
123,Crangon_septemspinosa,sp123,"Marine, Neritic, SubLittoral, Benthic, Macrobenthos, SoftBottom, Sand, Mud",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
124,Crassicorophium_crassicorne,sp124,"Marine, Benthic, SoftBottom",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
125,Cyathura_polita,sp125,"Marine, Neritic, LittoralZone, Intertidal, BrackishWater, Benthic",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
126,Diastylis_abbreviata,sp126,NA,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
127,Diastylis_quadrispinosa,sp127,NA,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
128,Dichelopandalus_leptocerus,sp128,NA,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
129,Dyopedos_monacanthus,sp129,"Marine, Benthic, SoftBottom, Sand, Silt",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
130,Dyopedos_porrectus,sp130,"Marine, Benthic",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
131,Ericthonius_brasiliensis,sp131,NA,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
132,Eriopisa_elongata,sp132,"Marine, Benthic, HardBottom, Rubble",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
133,Euchirella_rostrata,sp133,"Marine, Oceanic, mesopelagic, bathypelagic, Pelagic",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
134,Eudorella_monodon,sp134,"Marine, Neritic, Benthic, SoftBottom",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
135,Eudorella_pusilla,sp135,"Marine, Benthic, Demersal",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
136,Eurycope_cornuta,sp136,"Marine, Neritic, Oceanic, Benthic, SoftBottom",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
137,Eusergestes_arcticus,sp137,"Marine, Oceanic, Epipelagic, mesopelagic, bathypelagic, Pelagic",,10,0.8,constant,0,10,NA,1.855,0.75,1.675,NA,NA,NA,constant,0,0.5,NA
138,Gaetanus_brevispinus,sp138,"Marine, Oceanic, mesopelagic, bathypelagic, Pelagic",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
139,Gaetanus_curvicornis,sp139,NA,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
140,Gaetanus_tenuispinus,sp140,"Marine, Oceanic, mesopelagic, bathypelagic, Pelagic",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
141,Galacantha_rostrata,sp141,"Marine, Benthic, Mobile, Demersal, SoftBottom, Sand, Mud, Seamounts",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
142,Gennadas_valens,sp142,"Marine, Oceanic, Epipelagic, mesopelagic, bathypelagic, Pelagic",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
143,Haloptilus_longicornis,sp143,"Marine, Oceanic, Epipelagic, mesopelagic, Pelagic",,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
144,Hansarsia_megalops,sp144,NA,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
145,Harbansus_bowenae,sp145,NA,,10,0.8,constant,0,10,NA,NA,NA,NA,NA,NA,NA,constant,0,0.5,NA
